iter	Logloss
0	0.6927424927
1	0.6922818604
2	0.6918839722
3	0.6914902954
4	0.691149292
5	0.6907643433
6	0.6907081299
7	0.6903377686
8	0.6902576904
9	0.6898218994
10	0.6894614868
11	0.6890977783
12	0.6887073364
13	0.6885318604
14	0.688401062
15	0.6881821289
16	0.6879056396
17	0.6875445557
18	0.6871716309
19	0.6870076904
20	0.6865211182
21	0.6861932373
22	0.6859920654
23	0.6856209717
24	0.6853483887
25	0.6848968506
26	0.6847520752
27	0.6845158081
28	0.6843959351
29	0.6840725098
30	0.6838968506
31	0.6837359619
32	0.6835238037
33	0.6834241943
34	0.6832119141
35	0.6828341064
36	0.6825133057
37	0.6823187256
38	0.6820634766
39	0.6817677612
40	0.6814330444
41	0.6812991333
42	0.6809147949
43	0.6805968628
44	0.6801891479
45	0.6801661377
46	0.6798596191
47	0.6797794189
48	0.6794116211
49	0.6793345947
50	0.6793134766
51	0.6792713623
52	0.6789502563
53	0.6788200684
54	0.6787290039
55	0.6783536377
56	0.678175293
57	0.6778660889
58	0.6777971191
59	0.6776416016
60	0.6774155884
61	0.6771260986
62	0.676791748
63	0.6764835205
64	0.6763805542
65	0.6759523926
66	0.6758366089
67	0.6754825439
68	0.6753642578
69	0.6752978516
70	0.6750758667
71	0.674937439
72	0.6749067383
73	0.6748512573
74	0.6747147217
75	0.6746001587
76	0.6745466309
77	0.6744874268
78	0.6744022217
79	0.6743884277
80	0.6742072144
81	0.6741385498
82	0.6740769043
83	0.67402771
84	0.6737561646
85	0.6734414673
86	0.6734026489
87	0.6732444458
88	0.672949646
89	0.6729038086
90	0.6727651367
91	0.6726987305
92	0.6726695557
93	0.672567749
94	0.6722324219
95	0.6721900635
96	0.6721483154
97	0.6720475464
98	0.6718452148
99	0.6718112183
100	0.671741333
101	0.6716627197
102	0.6713395996
103	0.6713283081
104	0.671197998
105	0.6711611938
106	0.6709103394
107	0.6708284302
108	0.6705780029
109	0.6705601807
110	0.6703917847
111	0.6702275391
112	0.6700822754
113	0.6700656128
114	0.6699019775
115	0.6697159424
116	0.6696911621
117	0.6695487671
118	0.6695169678
119	0.6693901367
120	0.6692469482
121	0.6691356201
122	0.6689122314
123	0.6688825684
124	0.6687687988
125	0.6687399902
126	0.668538269
127	0.6682501831
128	0.6680576172
129	0.6680314331
130	0.6678712158
131	0.6678200073
132	0.6675474243
133	0.6674578857
134	0.6673116455
135	0.6672940674
136	0.6672461548
137	0.6670878296
138	0.6670371704
139	0.6670253296
140	0.6669475098
141	0.6668447876
142	0.666581665
143	0.6664881592
144	0.6663270264
145	0.6662432861
146	0.6660466309
147	0.6660050049
148	0.6659016724
149	0.6657337646
150	0.6655629883
151	0.6654902344
152	0.665357666
153	0.6653519287
154	0.665156311
155	0.6649689941
156	0.6649017944
157	0.6646483154
158	0.6646037598
159	0.6643132324
160	0.6642640381
161	0.6640965576
162	0.6640238647
163	0.6638448486
164	0.6638051758
165	0.6636120605
166	0.6634436646
167	0.6633152466
168	0.6632655029
169	0.6631546021
170	0.663105957
171	0.6630466919
172	0.6629658203
173	0.6628655396
174	0.6626721191
175	0.6626600952
176	0.6626177368
177	0.6624901733
178	0.6624796143
179	0.662230957
180	0.6622010498
181	0.6621972656
182	0.6620859375
183	0.6619903564
184	0.6619796753
185	0.6619659424
186	0.6619035645
187	0.6618444824
188	0.6617249756
189	0.6615322876
190	0.6613574829
191	0.6612589111
192	0.6610706787
193	0.6610230713
194	0.660862915
195	0.6607347412
196	0.6605501709
197	0.6604238281
198	0.6604176636
199	0.6603395996
200	0.6603099365
201	0.6601102295
202	0.6599949341
203	0.6599758301
204	0.659965271
205	0.6598223877
206	0.6598042603
207	0.659776001
208	0.6596088867
209	0.6593405762
210	0.6593034668
211	0.6592821045
212	0.6592794189
213	0.6592030029
214	0.6591384277
215	0.6590946045
216	0.6589790039
217	0.6588446045
218	0.6586043701
219	0.6585715332
220	0.6585476074
221	0.6583865967
222	0.6583787231
223	0.6583093262
224	0.6581920166
225	0.6581322021
226	0.6578660889
227	0.6578417969
228	0.6578341064
229	0.6577787476
230	0.6577010498
231	0.6575910645
