iter	Passed	Remaining
0	61	61427
1	62	31131
2	63	20968
3	63	15828
4	64	12742
5	64	10708
6	65	9226
7	65	8153
8	66	7278
9	66	6591
10	67	6028
11	67	5563
12	68	5166
13	68	4829
14	69	4531
15	70	4342
16	71	4107
17	71	3899
18	71	3712
19	72	3543
20	73	3418
21	73	3281
22	74	3157
23	74	3047
24	75	2937
25	75	2837
26	76	2743
27	78	2728
28	79	2646
29	79	2569
30	79	2500
31	80	2437
32	81	2378
33	81	2321
34	84	2321
35	84	2272
36	85	2227
37	86	2182
38	86	2143
39	87	2102
40	88	2061
41	88	2019
42	88	1980
43	89	1942
44	89	1906
45	90	1869
46	90	1835
47	90	1803
48	92	1803
49	93	1773
50	93	1743
51	94	1718
52	98	1760
53	99	1735
54	99	1711
55	100	1691
56	100	1668
57	101	1646
58	102	1630
59	102	1609
60	103	1589
61	103	1571
62	104	1553
63	115	1682
64	125	1807
65	126	1787
66	126	1765
67	127	1745
68	127	1725
69	128	1705
70	128	1687
71	129	1667
72	129	1648
73	130	1629
74	130	1611
75	131	1595
76	131	1578
77	132	1561
78	132	1544
79	133	1530
80	133	1518
81	140	1575
82	141	1560
83	141	1544
84	142	1529
85	142	1516
86	143	1502
87	143	1489
88	144	1475
89	144	1461
90	144	1447
91	145	1434
92	145	1421
93	146	1408
94	146	1396
95	147	1390
96	148	1378
97	148	1369
98	149	1360
99	149	1349
100	150	1339
101	151	1333
102	152	1325
103	152	1314
104	153	1305
105	153	1296
106	154	1289
107	155	1280
108	155	1271
109	155	1262
110	156	1253
111	157	1246
112	157	1238
113	158	1229
114	158	1223
115	159	1218
116	160	1210
117	161	1203
118	161	1199
119	162	1192
120	163	1188
121	164	1183
122	164	1176
123	165	1168
124	165	1161
125	166	1153
126	167	1148
127	168	1145
128	168	1139
129	169	1134
130	170	1128
131	170	1122
132	171	1116
133	171	1110
134	172	1104
135	172	1098
136	173	1091
137	174	1087
138	174	1081
139	175	1075
140	176	1072
141	176	1067
142	179	1075
143	180	1070
144	180	1064
145	181	1059
146	181	1053
147	182	1048
148	182	1044
149	183	1039
150	184	1034
151	184	1029
152	185	1027
153	185	1020
154	186	1017
155	187	1015
156	188	1011
157	189	1007
158	189	1002
159	190	998
160	190	994
161	191	990
162	192	986
163	192	981
164	193	977
165	193	973
166	194	969
167	194	964
168	195	959
169	195	955
170	196	951
171	196	947
172	197	942
173	197	938
174	198	933
175	198	928
176	198	924
177	199	921
178	199	917
179	200	913
180	201	911
181	201	907
182	202	903
183	202	899
184	203	895
185	203	891
186	204	887
187	206	890
188	206	886
189	207	885
190	208	882
191	208	878
192	209	874
193	209	872
194	210	868
195	211	865
196	211	863
197	212	860
198	212	856
199	213	854
200	213	850
201	214	847
202	214	844
203	215	840
204	216	841
205	217	838
206	217	834
207	218	831
208	218	828
209	219	825
210	220	825
211	221	821
212	221	818
213	222	816
214	222	813
215	223	809
216	223	807
217	224	804
218	224	802
219	225	799
220	226	796
221	226	793
222	226	790
223	227	787
224	227	785
225	228	782
226	229	780
227	229	777
228	230	774
229	230	772
230	231	769
231	231	767
232	232	764
233	232	761
234	233	758
235	234	758
236	235	756
237	235	753
238	236	752
239	236	749
240	237	748
241	238	746
242	238	744
243	239	742
244	240	740
245	240	738
246	241	736
247	242	735
248	243	732
249	243	731
250	244	728
251	244	726
252	245	724
253	245	722
254	246	720
255	247	718
256	247	715
257	248	713
258	248	711
259	249	708
260	249	706
261	250	704
262	250	702
263	251	700
264	251	698
265	252	696
266	253	694
267	253	692
268	254	690
269	254	688
270	255	686
271	255	683
272	255	681
273	256	679
274	256	676
275	257	674
276	257	672
277	258	671
278	258	669
279	259	666
280	259	664
281	260	662
282	260	660
283	261	658
284	261	657
285	262	655
286	262	653
287	263	651
288	264	651
289	265	650
290	266	648
291	266	647
292	267	645
293	267	643
294	268	642
295	269	640
296	269	638
297	270	636
298	270	634
299	271	633
300	271	631
301	272	629
302	272	627
303	273	625
304	273	623
305	274	621
306	274	620
307	275	618
308	275	617
309	277	617
310	277	615
311	278	613
312	278	612
313	279	610
314	280	609
315	281	608
316	282	608
317	282	606
318	284	608
319	285	606
320	285	604
321	286	602
322	286	600
323	287	599
324	287	597
325	287	595
326	288	593
327	289	592
328	289	590
329	289	588
330	290	587
331	291	586
332	291	584
333	292	583
334	292	581
335	293	580
336	294	578
337	294	576
338	295	575
339	295	573
340	296	572
341	296	570
342	297	568
343	297	567
344	298	566
345	298	564
346	299	563
347	300	563
348	301	561
349	301	560
350	302	558
351	302	557
352	303	555
353	303	554
354	304	552
355	304	551
356	305	550
357	305	548
358	306	547
359	306	545
360	307	544
361	308	543
362	308	541
363	309	540
364	309	538
365	310	537
366	310	536
367	311	534
368	311	533
369	312	531
370	312	529
371	313	528
372	313	526
373	313	525
374	314	523
375	314	521
376	315	520
377	315	519
378	315	517
379	316	516
380	316	514
381	317	512
382	317	511
383	317	510
384	318	508
385	319	507
386	319	506
387	320	505
388	320	503
389	320	502
390	321	500
391	321	499
392	322	497
393	322	496
394	323	495
395	324	494
396	324	493
397	325	491
398	325	490
399	326	489
400	326	488
401	327	486
402	327	485
403	328	484
404	329	483
405	329	482
406	330	481
407	330	479
408	331	478
409	331	477
410	332	476
411	332	474
412	333	473
413	333	472
414	333	470
415	334	469
416	335	469
417	336	468
418	337	467
419	337	465
420	337	464
421	338	463
422	338	461
423	340	462
424	340	461
425	341	460
426	341	458
427	345	461
428	346	460
429	346	459
430	346	458
431	347	457
432	348	455
433	348	454
434	349	454
435	350	453
436	350	452
437	351	451
438	352	450
439	352	449
440	353	448
441	353	446
442	354	445
443	355	444
444	355	443
445	356	442
446	356	441
447	357	440
448	357	438
449	358	437
450	358	436
451	359	435
452	359	434
453	360	433
454	360	432
455	361	430
456	361	429
457	362	428
458	362	427
459	363	426
460	363	425
461	364	424
462	364	422
463	365	422
464	365	420
465	366	419
466	367	418
467	367	418
468	368	417
469	368	415
470	369	414
471	369	413
472	370	412
473	371	411
474	371	410
475	372	409
476	372	408
477	373	407
478	373	406
479	373	405
480	374	404
481	376	405
482	377	403
483	377	402
484	378	401
485	379	401
486	380	400
487	380	399
488	381	398
489	381	397
490	382	396
491	382	395
492	383	393
493	383	392
494	383	391
495	386	392
496	386	391
497	387	390
498	388	389
499	388	388
500	388	387
501	389	386
502	389	385
503	390	383
504	391	383
505	391	382
506	392	381
507	392	380
508	392	379
509	394	379
510	395	378
511	395	377
512	396	376
513	397	375
514	398	374
515	398	373
516	399	372
517	399	371
518	400	370
519	401	370
520	401	369
521	402	368
522	402	367
523	403	366
524	403	365
525	403	363
526	404	362
527	404	361
528	406	362
529	407	361
530	407	360
531	408	359
532	408	358
533	409	357
534	411	357
535	411	356
536	413	356
537	414	355
538	414	354
539	415	354
540	418	355
541	418	354
542	419	352
543	422	353
544	422	352
545	423	351
546	423	350
547	423	349
548	424	348
549	424	347
550	424	346
551	425	345
552	425	344
553	426	343
554	426	341
555	426	340
556	427	339
557	427	338
558	427	337
559	428	336
560	428	335
561	428	334
562	429	333
563	429	332
564	430	331
565	430	330
566	430	329
567	431	328
568	431	326
569	432	325
570	432	324
571	432	323
572	433	322
573	433	321
574	433	320
575	434	319
576	434	318
577	434	317
578	435	316
579	435	315
580	436	314
581	436	313
582	436	312
583	437	311
584	437	310
585	437	309
586	438	308
587	438	307
588	439	306
589	439	305
590	439	304
591	440	303
592	440	302
593	441	301
594	441	300
595	441	299
596	442	298
597	442	297
598	443	296
599	443	295
600	443	294
601	444	293
602	444	292
603	444	291
604	445	290
605	445	289
606	446	288
607	446	287
608	446	286
609	447	286
610	447	285
611	448	284
612	451	284
613	451	283
614	452	283
615	452	282
616	452	281
617	453	280
618	453	279
619	454	278
620	454	277
621	455	276
622	455	275
623	455	274
624	456	273
625	456	272
626	457	271
627	457	271
628	457	270
629	458	269
630	458	268
631	459	267
632	459	266
633	460	265
634	460	264
635	461	264
636	461	263
637	462	262
638	462	261
639	462	260
640	463	259
641	463	258
642	464	257
643	464	256
644	465	255
645	465	255
646	465	254
647	466	253
648	466	252
649	467	251
650	467	250
651	467	249
652	468	248
653	468	247
654	479	252
655	479	251
656	480	250
657	480	249
658	481	248
659	481	248
660	481	247
661	482	246
662	482	245
663	482	244
664	483	243
665	483	242
666	483	241
667	484	240
668	484	239
669	485	238
670	485	238
671	485	237
672	486	236
673	486	235
674	487	234
675	487	233
676	487	232
677	487	231
678	498	235
679	498	234
680	499	233
681	499	232
682	513	238
683	513	237
684	514	236
685	514	235
686	514	234
687	515	233
688	515	232
689	516	231
690	519	232
691	520	231
692	520	230
693	521	229
694	521	228
695	521	227
696	522	226
697	522	226
698	523	225
699	523	224
700	523	223
701	524	222
702	524	221
703	524	220
704	525	219
705	525	218
706	526	218
707	526	217
708	526	216
709	527	215
710	527	214
711	527	213
712	528	212
713	528	211
714	529	210
715	529	210
716	529	209
717	530	208
718	530	207
719	531	206
720	531	205
721	531	204
722	532	203
723	532	203
724	533	202
725	533	201
726	533	200
727	534	199
728	544	202
729	545	201
730	546	201
731	546	200
732	547	199
733	547	198
734	547	197
735	548	196
736	548	195
737	549	194
738	549	194
739	549	193
740	549	192
741	550	191
742	550	190
743	551	189
744	551	188
745	552	188
746	552	187
747	552	186
748	553	185
749	553	184
750	554	183
751	564	186
752	565	185
753	565	184
754	566	183
755	566	182
756	566	181
757	567	181
758	567	180
759	568	179
760	568	178
761	568	177
762	569	176
763	569	175
764	570	175
765	570	174
766	570	173
767	571	172
768	571	171
769	571	170
770	572	170
771	572	169
772	573	168
773	573	167
774	574	166
775	574	165
776	574	164
777	575	164
778	575	163
779	576	162
780	576	161
781	576	160
782	577	159
783	577	159
784	577	158
785	578	157
786	578	156
787	579	155
788	579	154
789	579	154
790	580	153
791	580	152
792	581	151
793	581	150
794	581	150
795	582	149
796	582	148
797	583	147
798	583	146
799	583	145
800	584	145
801	584	144
802	585	143
803	585	142
804	585	141
805	586	141
806	586	140
807	587	139
808	587	138
809	588	137
810	588	137
811	588	136
812	589	135
813	589	134
814	590	133
815	590	133
816	590	132
817	591	131
818	591	130
819	592	129
820	592	129
821	592	128
822	593	127
823	593	126
824	594	126
825	594	125
826	595	124
827	595	123
828	596	122
829	596	122
830	596	121
831	597	120
832	597	119
833	598	119
834	598	118
835	599	117
836	599	116
837	599	115
838	600	115
839	600	114
840	601	113
841	601	112
842	601	112
843	602	111
844	602	110
845	602	109
846	603	108
847	603	108
848	604	107
849	604	106
850	605	105
851	605	105
852	605	104
853	606	103
854	606	102
855	607	102
856	607	101
857	607	100
858	608	99
859	608	99
860	609	98
861	609	97
862	609	96
863	620	97
864	621	96
865	621	96
866	622	95
867	622	94
868	622	93
869	623	93
870	623	92
871	624	91
872	624	90
873	624	90
874	625	89
875	625	88
876	626	87
877	626	87
878	627	86
879	627	85
880	627	84
881	628	84
882	628	83
883	629	82
884	629	81
885	630	81
886	630	80
887	630	79
888	631	78
889	631	78
890	632	77
891	632	76
892	632	75
893	633	75
894	633	74
895	634	73
896	634	72
897	634	72
898	635	71
899	635	70
900	636	69
901	636	69
902	636	68
903	637	67
904	637	66
905	638	66
906	638	65
907	639	64
908	639	64
909	639	63
910	640	62
911	640	61
912	641	61
913	641	60
914	641	59
915	642	58
916	642	58
917	643	57
918	643	56
919	643	55
920	644	55
921	654	55
922	655	54
923	655	53
924	656	53
925	656	52
926	656	51
927	657	50
928	657	50
929	658	49
930	658	48
931	658	48
932	659	47
933	659	46
934	660	45
935	660	45
936	660	44
937	661	43
938	661	42
939	662	42
940	662	41
941	662	40
942	663	40
943	663	39
944	664	38
945	664	37
946	664	37
947	665	36
948	665	35
949	666	35
950	666	34
951	666	33
952	667	32
953	677	32
954	678	31
955	678	31
956	679	30
957	679	29
958	679	29
959	680	28
960	680	27
961	681	26
962	681	26
963	681	25
964	682	24
965	682	24
966	683	23
967	683	22
968	683	21
969	684	21
970	684	20
971	685	19
972	685	19
973	685	18
974	686	17
975	686	16
976	687	16
977	687	15
978	688	14
979	688	14
980	688	13
981	689	12
982	689	11
983	690	11
984	690	10
985	690	9
986	691	9
987	691	8
988	692	7
989	692	6
990	693	6
991	693	5
992	693	4
993	694	4
994	694	3
995	695	2
996	695	2
997	695	1
998	696	0
999	696	0
