iter	RMSE
0	8.038557299
1	6.982858977
2	6.333315559
3	5.929736937
4	5.759108396
5	5.61005093
6	5.501144227
7	5.430604854
8	5.393690752
9	5.36795898
10	5.352390827
11	5.344297432
12	5.339513903
13	5.33044173
14	5.323944813
15	5.318941766
16	5.318859504
17	5.316423391
18	5.308249911
19	5.3042725
20	5.300807796
21	5.297147526
22	5.294207077
23	5.278366022
24	5.276328588
25	5.272958266
26	5.269034547
27	5.267540778
28	5.26429449
29	5.261786747
30	5.252916346
31	5.252525622
32	5.248302405
33	5.2480488
34	5.247761428
35	5.246347279
36	5.245821156
37	5.244164066
38	5.243887997
39	5.242512952
40	5.219714186
41	5.213332415
42	5.213168789
43	5.208460789
44	5.207080725
45	5.205703142
46	5.205681124
47	5.204644164
48	5.198212646
49	5.198038841
50	5.192240008
51	5.190810702
52	5.190122304
53	5.189992804
54	5.186559403
55	5.186532684
56	5.184309686
57	5.184081043
58	5.182562727
59	5.177147636
60	5.177137528
61	5.176837248
62	5.174210017
63	5.174160487
64	5.173436268
65	5.168179366
66	5.168164831
67	5.16618977
68	5.165059887
69	5.161682295
70	5.160872902
71	5.159745448
72	5.15934272
73	5.159321082
74	5.159316594
75	5.159032977
76	5.158494627
77	5.148954861
78	5.147488167
79	5.145688142
80	5.142858114
81	5.142471181
82	5.142186214
83	5.140822984
84	5.139431669
85	5.138467149
86	5.138427355
87	5.135897688
88	5.1335032
89	5.132778505
90	5.132770315
91	5.132690295
92	5.132307218
93	5.13230242
94	5.131108645
95	5.123579229
96	5.122583209
97	5.120011364
98	5.116124654
99	5.114124364
