iter	Passed	Remaining
0	56	5550
1	56	2768
2	56	1841
3	58	1393
4	58	1110
5	58	922
6	59	786
7	59	685
8	60	606
9	60	543
10	60	492
11	61	448
12	61	412
13	62	381
14	62	354
15	62	330
16	63	308
17	63	289
18	63	272
19	64	256
20	64	243
21	65	230
22	65	219
23	66	209
24	66	199
25	66	190
26	67	181
27	68	175
28	68	167
29	68	160
30	69	154
31	69	148
32	70	142
33	70	136
34	70	131
35	71	126
36	71	121
37	71	117
38	72	113
39	72	109
40	73	105
41	73	101
42	73	97
43	74	94
44	74	90
45	74	87
46	75	84
47	75	81
48	75	78
49	76	76
50	76	73
51	76	71
52	77	68
53	77	66
54	78	63
55	78	61
56	78	59
57	79	57
58	79	55
59	79	53
60	80	51
61	80	49
62	80	47
63	81	45
64	81	43
65	82	42
66	82	40
67	82	38
68	83	37
69	83	35
70	83	34
71	84	32
72	84	31
73	85	29
74	85	28
75	85	27
76	86	25
77	86	24
78	87	23
79	87	21
80	87	20
81	88	19
82	88	18
83	88	16
84	89	15
85	89	14
86	90	13
87	90	12
88	90	11
89	91	10
90	91	9
91	91	7
92	92	6
93	92	5
94	93	4
95	93	3
96	93	2
97	94	1
98	94	0
99	94	0
