DATE,TIME,TIMESTAMP,DID,MODE,ANGLE
2021-08-29,12:14:04,1630239234,A675931302,MANUAL,0.0
2021-08-29,12:14:06,1630239235,A675941303,MANUAL,0.0
2021-08-29,12:14:07,1630239237,A675951304,MANUAL,-1.3
2021-08-29,12:14:08,1630239229,A675961305,MANUAL,-0.5
2021-08-29,12:14:09,1630239230,A675971306,MANUAL,-0.1
2021-08-29,12:14:10,1630239231,A675981307,MANUAL,0.1
2021-08-29,12:14:12,1630239230,A675991308,MANUAL,-0.0
2021-08-29,12:14:13,1630239231,A676001309,MANUAL,0.2
2021-08-29,12:14:14,1630239230,A676011310,MANUAL,0.2
2021-08-29,12:14:15,1630239231,A676021311,MANUAL,-0.1
2021-08-29,12:14:17,1630239212,A676031312,MANUAL,-0.1
2021-08-29,12:14:18,1630239229,A676041313,MANUAL,0.9
2021-08-29,12:14:19,1630239229,A676051314,MANUAL,0.0
2021-08-29,12:14:21,1630239220,A676061315,MANUAL,0.2
2021-08-29,12:14:22,1630239220,A676071316,MANUAL,0.0
2021-08-29,12:14:23,1630239221,A676081317,MANUAL,-0.1
2021-08-29,12:14:24,1630239221,A676091318,MANUAL,-0.7
2021-08-29,12:14:26,1630239222,A676101319,MANUAL,0.8
2021-08-29,12:14:27,1630239220,A676111320,MANUAL,0.1
2021-08-29,12:14:29,1630239222,A676121321,MANUAL,-0.1
2021-08-29,12:14:31,1630239134,A676131322,MANUAL,1.9
2021-08-29,12:14:32,1630239220,A676141323,MANUAL,0.1
2021-08-29,12:14:33,1630239221,A676151324,MANUAL,-0.1
2021-08-29,12:14:34,1630239204,A676161325,MANUAL,0.2
2021-08-29,12:14:36,1630239205,A676171326,MANUAL,0.0
2021-08-29,12:14:37,1630239206,A676181327,MANUAL,0.8
2021-08-29,12:14:38,1630239206,A676191328,MANUAL,0.0
2021-08-29,12:14:39,1630239207,A676201329,MANUAL,0.3
2021-08-29,12:14:40,1630239201,A676211330,MANUAL,-0.4
2021-08-29,12:14:41,1630239201,A676221331,MANUAL,0.0
2021-08-29,12:14:43,1630239202,A676231332,MANUAL,-0.1
2021-08-29,12:14:44,1630239202,A676241333,MANUAL,0.0
2021-08-29,12:14:45,1630239203,A676251334,MANUAL,0.6
2021-08-29,12:14:46,1630239200,A676261335,MANUAL,0.7
2021-08-29,12:14:48,1630239200,A676271336,MANUAL,0.2
2021-08-29,12:14:49,1630239201,A676281337,MANUAL,-0.1
2021-08-29,12:14:50,1630239201,A676291338,MANUAL,0.2
2021-08-29,12:14:58,1630239165,A676311340,MANUAL,-0.2
2021-08-29,12:15:00,1630239166,A676321341,MANUAL,0.1
2021-08-29,12:15:01,1630239167,A676331342,MANUAL,0.0
2021-08-29,12:15:02,1630239167,A676341343,MANUAL,0.3
2021-08-29,12:15:04,1630239168,A676351344,MANUAL,0.2
2021-08-29,12:15:05,1630239166,A676361345,MANUAL,-0.0
2021-08-29,12:15:06,1630239167,A676371346,MANUAL,4.0
2021-08-29,12:15:11,1630239168,A676391348,MANUAL,0.4
2021-08-29,12:15:12,1630239117,A676401349,MANUAL,0.0
2021-08-29,12:15:13,1630239165,A676411350,MANUAL,-0.5
2021-08-29,12:15:14,1630239166,A676421351,MANUAL,-0.0
2021-08-29,12:15:15,1630239166,A676431352,MANUAL,2.2
2021-08-29,12:15:16,1630239167,A676441353,MANUAL,0.1
2021-08-29,12:15:17,1630239167,A676451354,MANUAL,-0.5
2021-08-29,12:15:18,1630239166,A676461355,MANUAL,0.6
2021-08-29,12:15:20,1630239167,A676471356,MANUAL,0.0
2021-08-29,12:15:21,1630239168,A676481357,MANUAL,-0.2
2021-08-29,12:15:22,1630239169,A676491358,MANUAL,-1.7
2021-08-29,12:15:24,1630239169,A676501359,MANUAL,0.2
2021-08-29,12:15:25,1630239162,A676511360,MANUAL,0.0
2021-08-29,12:15:26,1630239163,A676521361,MANUAL,-0.0
2021-08-29,12:15:27,1630239163,A676531362,MANUAL,-0.4
2021-08-29,12:15:28,1630239164,A676541363,MANUAL,0.2
2021-08-29,12:15:30,1630239164,A676551364,MANUAL,-0.0
2021-08-29,12:15:31,1630239164,A676561365,MANUAL,1.2
2021-08-29,12:15:32,1630239164,A676571366,MANUAL,0.5
2021-08-29,12:15:34,1630239165,A676581367,MANUAL,-0.0
2021-08-29,12:15:35,1630239165,A676591368,MANUAL,-0.5
2021-08-29,12:15:36,1630239166,A676601369,MANUAL,-0.0
2021-08-29,12:15:38,1630239136,A676611370,MANUAL,0.1
2021-08-29,12:15:39,1630239330,A676621371,MANUAL,-0.3
2021-08-29,12:20:56,1630239647,A675921301,MANUAL,0.0
2021-08-29,12:20:58,1630239648,A675931302,MANUAL,0.0
2021-08-29,12:20:59,1630239649,A675941303,MANUAL,0.0
2021-08-29,12:21:00,1630239650,A675951304,MANUAL,-1.3
2021-08-29,12:21:02,1630239643,A675961305,MANUAL,-0.5
2021-08-29,12:21:03,1630239643,A675971306,MANUAL,-0.1
2021-08-29,12:21:04,1630239644,A675981307,MANUAL,0.1
2021-08-29,12:21:06,1630239644,A675991308,MANUAL,-0.0
2021-08-29,12:21:07,1630239645,A676001309,MANUAL,0.2
2021-08-29,12:21:08,1630239644,A676011310,MANUAL,0.2
2021-08-29,12:21:09,1630239645,A676021311,MANUAL,-0.1
2021-08-29,12:21:10,1630239626,A676031312,MANUAL,-0.1
2021-08-29,12:21:12,1630239642,A676041313,MANUAL,0.9
2021-08-29,12:21:13,1630239643,A676051314,MANUAL,-0.0
2021-08-29,12:21:14,1630239633,A676061315,MANUAL,0.2
2021-08-29,12:21:16,1630239634,A676071316,MANUAL,0.0
2021-08-29,12:21:17,1630239634,A676081317,MANUAL,-0.1
2021-08-29,12:21:18,1630239635,A676091318,MANUAL,-0.7
2021-08-29,12:21:19,1630239636,A676101319,MANUAL,0.8
2021-08-29,12:21:24,1630239637,A676121321,MANUAL,-0.1
2021-08-29,12:21:26,1630239549,A676131322,MANUAL,1.9
2021-08-29,12:21:27,1630239635,A676141323,MANUAL,0.1
2021-08-29,12:21:28,1630239636,A676151324,MANUAL,-0.1
2021-08-29,12:21:29,1630239619,A676161325,MANUAL,0.2
2021-08-29,12:21:31,1630239620,A676171326,MANUAL,0.0
2021-08-29,12:21:32,1630239620,A676181327,MANUAL,0.8
2021-08-29,12:21:33,1630239621,A676191328,MANUAL,0.0
2021-08-29,12:21:34,1630239622,A676201329,MANUAL,0.3
2021-08-29,12:21:35,1630239616,A676211330,MANUAL,-0.4
2021-08-29,12:21:36,1630239616,A676221331,MANUAL,0.0
2021-08-29,12:21:38,1630239617,A676231332,MANUAL,-0.0
2021-08-29,12:21:39,1630239618,A676241333,MANUAL,0.0
2021-08-29,12:21:40,1630239618,A676251334,MANUAL,0.6
2021-08-29,12:21:42,1630239615,A676261335,MANUAL,0.7
2021-08-29,12:21:43,1630239615,A676271336,MANUAL,0.2
2021-08-29,12:21:44,1630239616,A676281337,MANUAL,-0.0
